prod_id,nb_cmd,qte,ca,prix,pays,clients,part_q4
22626,25,106,850.0,8.43,6,18,0.16
22627,56,169,1395.7,8.47,10,30,0.341
22628,31,281,1278.95,4.93,9,26,0.135
22629,137,2071,3904.05,1.94,12,70,0.238
22630,104,1793,3285.15,1.93,14,59,0.165
22631,55,798,1517.7,1.94,12,43,0.269
22632,37,486,972.6,2.09,7,29,0.544
22633,20,136,285.6,2.1,4,16,0.831
22634,38,157,1434.55,9.64,10,35,0.239
22635,37,122,1155.9,9.83,10,30,0.222
22636,41,138,1125.4,8.35,9,32,0.39
22637,40,516,1175.4,2.49,10,26,0.121
22644,24,281,363.99,1.32,9,18,0.351
22645,22,185,229.03,1.35,5,17,0.259
22646,41,442,564.58,1.4,8,28,0.312
22649,30,242,1181.1,4.93,7,15,0.281
22650,16,144,208.8,1.45,7,12,0.458
22652,47,726,1197.9,1.65,10,30,0.091
22654,20,127,715.65,5.9,6,13,0.382
22659,43,509,973.35,1.94,7,33,0.319
22661,66,1162,922.7,0.84,11,43,0.271
22662,70,1290,2008.5,1.63,10,42,0.151
22663,31,221,453.7,2.05,6,19,0.298
22665,21,86,253.7,2.95,6,16,0.267
22666,92,1126,3196.9,2.91,12,48,0.2
22667,50,771,2053.65,2.91,8,28,0.207
22668,29,257,718.15,2.92,11,23,0.123
22669,31,222,634.9,2.94,8,23,0.251
22670,23,307,383.75,1.25,7,16,0.391
22672,12,300,456.6,1.63,5,10,0.065
22673,10,120,150.0,1.25,4,9,0.25
22674,12,375,414.03,1.22,5,8,0.0
22675,14,334,381.02,1.24,5,9,0.02
22689,18,96,709.5,7.77,5,14,0.555
22690,32,123,904.05,7.76,8,20,0.358
22692,55,226,1649.7,7.77,11,37,0.139
22693,36,2136,2193.36,1.22,9,22,0.055
22694,19,104,218.4,2.1,3,15,0.702
22696,12,78,152.1,1.95,3,8,0.679
22697,83,912,2508.0,2.88,10,42,0.242
22698,67,679,1878.25,2.89,8,32,0.279
22699,111,1730,4659.1,2.86,12,50,0.197
22704,44,1350,567.0,0.42,8,25,0.296
22705,16,400,168.0,0.42,5,11,0.375
22708,11,275,115.5,0.42,8,10,0.455
22711,15,600,236.0,0.41,8,15,0.133
22712,30,372,156.24,0.42,7,21,0.226
22713,16,228,95.76,0.42,3,13,0.263
22714,12,162,68.04,0.42,5,11,0.185
22715,14,198,83.16,0.42,7,10,0.091
22716,37,456,191.52,0.42,7,24,0.132
22720,139,1121,5296.95,4.9,18,72,0.241
22721,24,138,585.3,4.42,8,18,0.217
22722,59,572,2091.4,3.89,12,39,0.242
22723,24,162,568.8,3.68,6,17,0.091
22725,35,270,994.5,3.74,8,21,0.313
22726,105,700,2625.0,3.75,10,45,0.479
22727,107,947,3497.25,3.74,11,47,0.369
22728,115,1019,3767.25,3.74,10,47,0.4
22729,48,257,963.75,3.75,8,21,0.101
22730,34,249,915.75,3.74,8,25,0.438
22732,14,222,277.5,1.25,7,13,0.838
22733,11,172,215.0,1.25,5,11,0.895
22734,35,373,1049.17,2.88,7,27,0.755
22735,10,69,113.85,1.65,4,9,0.638
22736,15,119,196.35,1.65,6,14,0.706
22737,21,179,295.35,1.65,6,16,0.693
22738,13,100,165.0,1.65,4,11,0.85
22739,23,214,353.1,1.65,7,17,0.743
22740,19,960,816.0,0.85,6,14,0.05
22741,23,1296,1101.6,0.85,6,13,0.37
22742,17,104,280.88,2.83,8,15,0.139
22743,22,130,357.58,2.86,6,15,0.225
22744,22,169,453.43,2.83,7,16,0.223
22745,54,370,762.0,2.1,10,37,0.424
22746,42,287,587.7,2.09,9,32,0.375
22747,26,195,394.5,2.09,8,21,0.293
22748,54,399,822.9,2.1,8,32,0.316
22749,38,292,1043.16,3.72,9,24,0.687
22750,41,194,727.5,3.75,9,26,0.531
22751,28,103,386.25,3.75,9,24,0.67
22752,37,189,1436.1,8.31,12,30,0.57
22753,15,180,121.0,0.68,6,13,0.255
22754,17,181,121.85,0.7,6,16,0.672
22755,19,224,158.4,0.72,6,16,0.281
22756,12,141,165.07,1.11,4,11,0.144
22757,15,197,235.07,1.14,6,13,0.155
22758,13,209,229.43,1.05,7,11,0.194
22759,44,700,1135.8,1.65,13,35,0.513
22766,33,325,920.35,2.94,6,14,0.269
22767,17,44,437.8,9.95,5,7,0.295
22768,14,42,417.9,9.95,6,9,0.619
22771,20,245,306.25,1.25,6,13,0.416
22773,12,142,177.5,1.25,4,8,0.394
22774,10,144,180.0,1.25,5,6,0.583
22775,11,144,180.0,1.25,6,8,0.583
22776,43,121,1116.95,9.78,9,29,0.296
22779,21,188,751.0,4.2,9,14,0.387
22780,18,164,649.0,4.2,6,12,0.21
22781,20,48,367.2,7.65,6,14,0.375
22784,21,120,552.0,4.78,8,14,0.224
22791,15,246,307.5,1.25,3,11,0.171
22794,10,24,190.8,7.95,3,7,0.333
22795,27,264,1628.4,6.58,5,11,0.283
22796,21,55,547.25,9.95,4,10,0.345
22797,11,42,711.9,16.95,4,6,0.095
22798,14,101,297.95,2.95,5,10,0.287
22801,14,64,240.0,3.75,7,11,0.234
22804,33,396,1077.0,2.88,7,19,0.283
22805,12,146,182.5,1.25,6,9,0.329
22809,16,146,430.7,2.95,5,11,0.952
22810,11,134,395.3,2.95,5,9,0.813
22812,14,275,507.45,1.93,5,13,0.503
22813,16,306,567.9,1.93,5,10,0.347
22814,11,132,55.44,0.42,6,10,0.182
22815,12,168,70.56,0.42,6,11,0.214
22816,18,264,110.88,0.42,8,16,0.773
22818,16,360,151.2,0.42,6,15,0.8
22819,14,180,75.6,0.42,5,12,0.267
22821,12,172,111.8,0.65,4,8,0.093
22822,11,48,269.6,5.86,4,7,0.088
22831,21,262,715.3,2.93,9,16,0.049
22834,21,176,309.6,2.04,5,15,0.661
22835,30,118,566.7,4.8,3,14,0.541
22838,18,348,4489.8,14.09,8,9,0.163
22839,15,104,1361.2,14.22,4,8,0.066
22840,36,241,1735.95,7.84,9,23,0.149
22841,22,59,445.05,7.86,6,16,0.125
22842,23,161,981.15,6.51,7,14,0.062
22843,19,122,746.7,6.54,4,10,0.054
22844,24,53,450.5,8.5,9,18,0.245
22845,33,65,412.75,6.35,12,26,0.323
22846,51,116,1830.2,16.32,9,21,0.339
22847,60,166,2589.7,16.28,13,30,0.296
22848,14,30,472.5,16.38,6,10,0.46
22849,22,55,852.25,16.13,5,13,0.04
22851,40,450,382.5,0.85,8,25,0.222
22852,13,45,191.25,4.25,6,12,0.533
22857,13,384,307.68,0.84,7,12,0.166
22858,15,436,676.2,1.62,6,12,0.102
22859,19,306,483.3,1.64,8,16,0.307
22863,14,263,699.05,2.84,8,9,0.03
22865,42,480,984.0,2.09,7,27,0.668
22866,38,410,837.0,2.09,6,31,0.6
22867,33,347,713.7,2.09,7,22,0.853
22890,10,23,228.85,9.95,7,8,0.348
22891,18,78,319.5,4.22,6,15,0.08
22892,30,323,403.75,1.25,7,20,0.412
22893,11,696,275.04,0.41,6,9,0.0
22894,24,74,707.3,9.53,5,13,0.199
22895,52,495,1484.75,3.13,9,29,0.304
22896,21,257,587.85,2.51,6,15,0.322
22897,29,259,375.55,1.45,6,23,0.332
22898,54,438,839.1,1.94,9,33,0.337
22899,40,408,819.3,2.08,11,32,0.246
22900,39,310,968.5,3.12,6,28,0.312
22904,25,268,758.6,2.93,7,16,0.031
22906,18,157,259.05,1.65,5,14,0.185
22907,71,1640,1291.28,0.84,10,46,0.173
22908,60,1089,865.17,0.85,9,39,0.203
22909,57,1793,1382.93,0.84,9,35,0.5
22910,55,1200,3204.0,2.88,5,31,0.476
22913,12,51,252.45,4.95,6,8,0.196
22914,15,48,237.6,4.95,8,12,0.292
22915,29,840,345.6,0.42,10,24,0.277
22916,11,148,96.2,0.65,2,10,0.088
22917,15,173,112.45,0.65,2,11,0.145
22918,13,138,89.7,0.65,3,10,0.181
22919,14,163,105.95,0.65,2,11,0.153
22920,14,138,89.7,0.65,3,11,0.094
22921,10,102,66.3,0.65,2,9,0.245
22922,19,480,376.8,0.84,9,16,0.311
22923,16,432,336.0,0.83,9,13,0.5
22924,10,336,254.4,0.82,6,9,0.5
22925,11,30,178.5,5.95,4,10,0.033
22927,10,35,208.25,5.95,3,5,0.029
22930,14,87,221.85,2.55,6,14,0.069
22931,10,182,399.3,2.5,5,9,0.038
22932,11,393,850.95,2.43,4,7,0.024
22933,12,186,500.7,2.92,3,10,0.035
22934,13,175,468.25,2.89,5,13,0.113
22937,20,189,481.95,2.55,7,16,0.206
22938,14,302,588.9,1.95,8,14,0.162
22939,23,175,831.25,4.92,6,17,0.322
22940,43,204,867.0,4.25,9,33,0.755
22941,28,96,816.0,8.5,7,21,0.948
22942,11,41,276.35,7.49,5,7,0.877
22943,19,100,478.2,4.91,7,14,0.845
22944,10,522,234.54,0.56,4,6,0.761
22945,20,678,520.14,0.83,8,17,0.265
22947,18,90,841.5,10.45,7,11,0.919
22949,18,469,680.05,1.45,9,16,0.409
22950,16,1598,2115.5,1.41,4,10,0.059
22951,61,2312,1224.8,0.55,13,43,0.452
22952,46,3119,1465.85,0.53,8,27,0.445
22955,18,157,327.08,2.03,10,17,0.242
22956,21,218,445.8,2.09,11,19,0.402
22957,36,673,1802.95,2.89,11,27,0.0
22959,12,750,315.0,0.42,5,9,0.9
22960,105,1344,5337.0,4.08,16,59,0.155
22961,114,2748,3907.8,1.45,15,59,0.24
22962,37,581,468.89,0.84,11,27,0.3
22963,20,370,289.54,0.83,8,16,0.237
22964,43,441,890.1,2.09,11,34,0.347
22965,22,289,570.9,2.09,8,15,0.118
22966,69,1068,1280.28,1.24,11,42,0.382
22967,20,386,1021.1,2.89,7,14,0.0
22968,21,131,1187.45,9.74,6,15,0.149
22969,68,1404,1992.6,1.44,12,49,0.253
22970,29,239,609.45,2.55,6,23,0.49
22971,22,181,445.35,2.53,5,19,0.235
22972,21,237,391.05,1.65,6,16,0.304
22973,24,276,455.4,1.65,5,17,0.315
22974,17,184,303.6,1.65,5,14,0.196
22975,17,197,246.25,1.25,6,12,0.244
22976,17,205,256.25,1.25,4,8,0.293
22978,26,348,1261.8,3.69,7,13,0.107
22979,37,544,760.0,1.44,10,24,0.195
22980,22,358,561.9,1.62,6,14,0.115
22982,13,168,210.0,1.25,8,11,0.357
22983,27,384,161.28,0.42,8,21,0.188
22984,22,312,131.04,0.42,8,16,0.308
22985,14,750,291.0,0.41,5,10,0.108
22986,23,575,241.5,0.42,8,18,0.261
22988,21,248,310.0,1.25,3,16,0.351
22989,40,668,1963.8,3.19,10,32,0.159
22990,23,134,628.3,4.92,8,18,0.11
22991,34,500,975.0,1.95,6,25,0.216
22992,40,600,1170.0,1.95,7,29,0.225
22993,95,1360,1645.28,1.24,13,52,0.223
22996,12,224,94.08,0.42,4,7,0.321
22997,19,338,141.96,0.42,3,10,0.237
22998,29,684,287.28,0.42,4,16,0.363
22999,12,184,77.28,0.42,5,10,0.293
23000,16,298,125.16,0.42,6,11,0.161
23004,12,158,66.36,0.42,6,12,0.31
23007,36,155,2411.25,16.39,11,27,0.091
23008,30,158,2426.1,16.22,10,20,0.056
23010,22,110,1696.5,16.4,9,18,0.07
23012,17,131,475.45,3.77,5,13,0.722
23013,19,130,471.5,3.77,5,13,0.598
23014,12,90,325.5,3.78,4,11,0.4
23020,11,52,596.0,12.01,6,10,0.554
23028,17,379,577.35,1.63,8,14,0.037
23029,18,168,277.2,1.65,9,13,0.357
23031,19,168,277.2,1.65,6,13,0.25
23032,20,500,757.8,1.62,6,14,0.096
23035,21,235,340.75,1.45,6,14,0.562
23049,33,86,709.5,8.25,6,17,0.14
23050,23,66,544.5,8.25,6,14,0.061
23051,19,51,420.75,8.25,5,14,0.02
23052,30,74,610.5,8.25,9,22,0.135
23053,18,39,321.75,8.25,8,16,0.051
23054,21,56,462.0,8.25,7,12,0.018
23076,41,1368,1659.6,1.24,11,30,0.253
23077,33,1040,1300.0,1.25,9,26,0.308
23078,31,980,1225.0,1.25,9,22,0.216
23079,15,62,538.1,8.9,6,12,0.299
23080,29,83,684.75,8.25,10,24,0.542
23081,19,51,420.75,8.25,6,14,0.627
23082,30,261,956.67,3.74,6,25,0.525
23083,27,297,1069.59,3.72,4,18,0.61
23084,126,4325,7908.5,1.95,14,66,0.818
23092,10,25,197.5,7.9,4,9,0.24
23093,11,104,239.28,2.45,2,9,0.166
23096,14,156,243.0,1.64,3,12,0.251
23100,28,251,313.75,1.25,6,24,0.649
23101,23,342,275.94,0.83,6,19,0.639
23102,11,120,99.6,0.83,4,11,0.5
23103,29,472,778.8,1.65,4,25,0.629
23108,67,475,2710.75,6.1,10,45,0.346
23109,26,385,1074.25,2.87,7,19,0.334
23110,28,107,589.65,5.69,7,18,0.232
23111,23,44,533.2,12.41,5,11,0.281
23112,25,91,651.9,7.4,9,19,0.069
23113,11,48,237.6,4.95,6,8,0.875
23118,26,64,480.0,7.5,5,15,0.344
23119,18,234,145.08,0.62,7,17,0.222
23122,12,128,106.24,0.83,6,12,0.32
23126,23,112,554.4,4.95,6,16,0.402
23127,16,68,336.6,4.95,7,15,0.618
23129,19,138,553.5,4.13,7,15,0.7
23130,15,72,298.8,4.15,2,10,0.708
23131,13,305,1265.75,4.15,3,10,0.167
23132,15,60,335.4,5.7,4,13,0.206
23133,13,49,375.45,8.07,4,7,0.132
23144,32,687,554.37,0.83,9,17,0.618
23145,27,432,410.4,0.95,9,18,0.528
23146,28,140,451.0,3.28,7,18,0.511
23147,28,263,381.35,1.45,7,23,0.209
23148,26,334,277.22,0.83,7,19,0.263
23152,10,36,135.0,3.75,4,8,0.389
23154,31,473,983.84,2.08,11,17,0.205
23155,26,444,368.52,0.83,9,14,0.162
23156,29,388,807.04,2.08,9,16,0.343
23157,20,817,1588.96,2.06,7,15,0.424
23158,36,552,1148.16,2.08,6,16,0.326
23159,51,808,1680.64,2.08,12,27,0.298
23160,10,300,349.8,1.23,6,9,0.3
23161,12,408,459.6,1.22,6,10,0.163
23162,19,262,916.26,3.68,5,10,0.131
23163,21,440,997.2,2.39,5,10,0.19
23164,14,191,830.25,4.78,6,12,0.419
23165,24,347,543.75,1.63,4,17,0.249
23166,24,685,815.93,1.22,5,16,0.077
23167,22,477,369.03,0.82,6,18,0.413
23168,18,209,261.25,1.25,3,5,0.234
23169,28,194,783.5,4.11,4,16,0.256
23170,66,1195,1885.35,1.63,10,30,0.195
23171,51,937,1478.85,1.63,7,22,0.189
23172,46,833,1316.85,1.63,6,18,0.227
23173,69,422,3702.1,9.58,10,40,0.216
23174,68,596,2396.6,4.12,8,31,0.239
23175,58,513,1547.25,3.19,8,26,0.245
23176,33,264,594.0,2.25,12,27,0.155
23177,28,160,360.0,2.25,11,22,0.138
23178,11,66,190.74,2.89,6,11,0.091
23182,16,281,233.23,0.83,4,12,0.096
23183,10,48,180.0,3.75,5,8,0.125
23184,22,114,535.5,4.91,5,17,0.12
23186,14,745,443.57,0.41,4,9,0.137
23187,10,390,124.62,0.39,5,8,0.182
23188,20,172,283.8,1.65,5,16,0.326
23189,19,215,602.15,2.87,6,11,0.341
23190,17,207,341.55,1.65,5,15,0.246
23191,30,342,554.7,1.64,6,21,0.328
23192,31,428,677.4,1.63,7,20,0.295
23193,15,80,180.0,2.25,8,12,0.188
23194,25,147,328.03,2.24,10,21,0.185
23196,30,312,442.8,1.44,7,22,0.331
23197,27,293,424.85,1.45,6,15,0.481
23198,46,641,900.65,1.44,11,25,0.378
23199,87,1457,2885.56,2.06,11,49,0.152
23200,46,500,1040.0,2.08,10,32,0.266
23201,75,897,1835.46,2.07,12,38,0.297
23202,80,1327,2613.86,2.06,8,35,0.285
23203,103,1995,3859.6,2.06,13,57,0.422
23204,77,1099,921.15,0.85,9,38,0.313
23205,35,632,498.2,0.84,7,21,0.142
23206,110,1243,2050.95,1.65,13,60,0.223
23207,71,709,1169.85,1.65,8,39,0.312
23208,60,765,1262.25,1.65,9,30,0.268
23209,125,1850,3012.5,1.65,14,57,0.256
23210,22,877,1005.53,1.22,9,16,0.761
23211,16,639,738.27,1.23,7,11,0.675
23212,17,712,799.28,1.21,6,14,0.709
23213,17,544,619.52,1.23,6,14,0.697
23215,13,211,438.88,2.08,3,13,0.645
23221,10,125,103.75,0.83,6,10,0.808
23227,10,220,275.0,1.25,4,8,0.127
23229,33,431,1359.21,3.64,10,24,0.188
23230,30,1825,698.5,0.41,7,18,0.329
23231,59,1650,693.0,0.42,10,29,0.242
23232,21,1125,440.5,0.41,5,12,0.167
23233,22,575,241.5,0.42,5,16,0.043
23234,21,185,505.85,2.85,7,16,0.44
23235,16,123,336.27,2.87,6,13,0.103
23236,59,842,2337.38,2.86,13,40,0.264
23237,19,178,700.3,4.11,7,16,0.435
23238,31,346,1378.3,4.12,7,20,0.426
23239,16,115,458.05,4.12,6,15,0.136
23240,75,523,2132.05,4.14,15,51,0.402
23241,54,638,1293.92,2.07,11,34,0.295
23242,24,369,756.48,2.07,9,17,0.23
23243,56,386,1872.3,4.92,15,38,0.323
23244,20,166,309.3,1.93,8,17,0.34
23245,137,1281,5918.55,4.83,18,74,0.356
23247,34,304,835.36,2.85,8,25,0.83
23249,12,131,216.15,1.65,6,10,0.42
23250,18,242,302.5,1.25,6,11,0.496
23251,16,192,240.0,1.25,4,10,0.406
23252,15,72,270.0,3.75,5,10,0.208
23253,10,48,682.8,15.6,6,9,0.187
23254,70,385,1597.75,4.15,13,47,0.345
23255,44,354,1440.3,4.14,12,33,0.369
23256,76,500,2046.2,4.14,11,50,0.389
23263,30,438,527.34,1.24,7,24,0.689
23264,29,294,367.5,1.25,8,24,0.704
23265,23,216,270.0,1.25,6,18,0.819
23266,28,317,396.25,1.25,7,22,0.546
23267,20,248,310.0,1.25,8,16,0.468
23268,12,121,175.45,1.45,6,11,0.207
23269,14,178,258.1,1.45,6,12,0.798
23270,12,111,160.95,1.45,6,11,0.865
23271,12,345,268.43,0.82,6,10,0.414
23273,11,134,221.1,1.65,3,9,0.373
23275,28,346,432.5,1.25,9,22,0.506
23280,15,215,167.89,0.82,6,14,0.074
23281,11,156,129.48,0.83,6,8,0.154
23283,22,132,941.4,7.58,5,12,0.38
23284,45,212,1593.3,7.84,9,28,0.589
23285,24,396,324.12,0.84,11,18,0.199
23286,31,464,381.92,0.85,12,22,0.196
23287,33,491,404.87,0.85,11,25,0.193
23288,25,312,265.2,0.85,9,19,0.212
23289,43,385,481.25,1.25,10,32,0.358
23290,52,489,611.25,1.25,11,35,0.364
23291,40,339,423.75,1.25,10,29,0.383
23292,43,411,513.75,1.25,10,29,0.433
23293,60,2189,1718.31,0.82,13,36,0.408
23294,38,1237,942.23,0.81,9,21,0.367
23295,48,1454,1150.5,0.82,11,29,0.387
23296,38,1020,1221.24,1.24,12,28,0.299
23297,26,1539,2462.55,1.63,10,21,0.0
23298,111,1139,5198.05,4.91,11,59,0.177
23299,17,235,827.25,3.71,6,11,0.041
23300,35,348,555.0,1.64,4,24,0.411
23301,40,466,740.1,1.63,5,24,0.569
23302,16,189,269.71,1.49,3,11,0.229
23306,29,656,951.2,1.45,9,20,0.055
23307,80,2574,1368.9,0.55,11,54,0.339
23308,51,1632,897.6,0.55,9,34,0.173
23309,32,810,429.9,0.55,3,21,0.336
23310,28,2520,1036.8,0.42,8,16,0.233
23311,34,269,685.95,2.55,8,25,0.732
23312,14,110,456.5,4.15,4,11,0.418
23313,32,288,1345.6,4.9,6,21,0.904
23314,14,41,512.5,12.5,4,7,0.659
23316,11,35,326.65,9.79,6,8,0.335
23317,11,28,278.6,9.95,7,8,0.714
23318,38,730,1620.9,2.43,10,29,0.632
23319,54,872,1974.48,2.45,10,37,0.857
23320,37,445,1148.77,2.66,9,26,0.687
23321,36,280,462.16,1.65,6,24,0.525
23322,34,242,697.9,2.94,4,19,0.406
23323,15,87,182.7,2.1,4,12,0.517
23328,34,215,780.33,3.72,5,21,0.583
23329,15,130,214.5,1.65,3,9,0.792
23330,17,149,186.25,1.25,3,12,0.584
23332,19,170,280.5,1.65,2,12,0.718
23333,20,208,260.0,1.25,3,12,0.654
23341,12,67,528.7,8.36,8,10,0.257
23342,21,86,700.4,8.46,7,11,0.376
23343,35,393,817.44,2.08,5,26,0.695
23344,61,804,1643.32,2.08,10,40,0.778
23345,30,335,418.75,1.25,7,20,0.445
23346,30,319,398.75,1.25,9,23,0.47
23347,10,123,153.75,1.25,5,6,0.512
23348,18,134,268.28,2.06,4,11,0.512
23349,20,204,255.0,1.25,5,16,0.676
23350,22,228,285.0,1.25,7,19,0.553
23351,28,302,377.5,1.25,7,24,0.662
23352,13,131,163.75,1.25,4,12,0.588
23353,35,556,461.48,0.83,8,31,0.827
23354,31,383,317.89,0.83,8,26,0.812
23355,56,295,1421.85,4.92,7,36,0.854
23356,41,189,1076.55,5.9,6,27,0.768
23358,14,111,326.25,3.39,6,10,0.862
23360,13,192,352.8,1.93,3,10,0.42
23365,13,214,139.1,0.65,3,12,0.888
23366,13,165,107.25,0.65,5,12,0.891
23367,22,635,412.75,0.65,8,18,0.945
23368,23,666,432.9,0.65,7,16,0.976
23371,17,218,272.5,1.25,7,14,0.839
23372,20,262,327.5,1.25,6,16,0.817
23374,14,390,319.8,0.82,5,10,0.231
23377,10,252,98.28,0.39,5,10,0.571
23378,15,307,119.73,0.39,4,12,0.844
23380,11,408,159.12,0.39,5,10,0.765
23382,29,241,854.07,3.72,7,21,1.0
23388,35,188,780.2,4.15,8,29,0.569
23389,38,190,788.5,4.15,8,28,0.679
23390,25,107,444.05,4.15,8,19,0.692
23392,12,144,299.52,2.08,5,8,0.625
23393,15,64,240.0,3.75,7,14,0.656
23395,14,94,352.5,3.75,6,13,0.851
23396,13,89,333.75,3.75,5,12,0.865
23397,15,50,454.3,9.71,5,9,0.384
23404,13,65,321.75,4.95,3,9,0.769
23407,11,24,238.8,9.95,4,8,0.667
23415,11,94,107.22,1.31,4,9,0.969
23424,10,31,153.45,4.95,4,6,0.677
23426,13,92,265.88,2.89,5,10,0.739
23427,13,77,836.5,12.34,5,7,0.866
23432,18,408,338.64,0.83,8,15,0.294
23433,15,228,189.24,0.83,6,11,0.263
23434,13,145,140.35,0.89,6,11,1.0
23439,31,245,514.5,2.1,6,26,0.898
23445,29,800,664.0,0.83,6,20,0.725
23480,53,628,2244.6,3.72,14,42,1.0
23489,13,100,289.0,2.89,2,11,1.0
23493,39,528,1029.6,1.95,9,31,0.96
23494,27,235,1358.25,5.91,7,21,1.0
23497,21,233,337.85,1.45,10,17,1.0
23503,23,225,281.25,1.25,4,21,0.893
23504,17,132,165.0,1.25,3,17,0.818
23505,11,167,187.75,1.23,4,10,1.0
23506,19,623,261.66,0.42,8,18,0.968
23507,15,460,193.2,0.42,6,13,1.0
23508,10,434,182.28,0.42,6,9,1.0
23510,13,418,175.56,0.42,5,12,1.0
23511,12,67,139.36,2.08,9,12,1.0
23514,10,50,104.0,2.08,5,9,1.0
23515,11,56,116.48,2.08,7,11,1.0
23534,24,125,718.55,5.88,5,17,1.0
23535,12,43,255.85,5.95,3,11,1.0
23541,11,48,372.0,8.03,3,9,1.0
23543,12,23,189.75,8.25,6,12,1.0
23545,15,475,199.5,0.42,9,13,0.579
23546,20,600,252.0,0.42,9,17,0.5
23551,14,327,127.53,0.39,4,13,0.56
23552,12,67,139.36,2.08,5,9,1.0
23559,17,180,374.4,2.08,7,13,0.867
23566,10,136,170.0,1.25,6,9,1.0
23569,32,187,925.65,4.95,9,25,1.0
23570,28,253,316.25,1.25,5,25,1.0
23571,21,219,361.35,1.65,6,18,1.0
23581,22,402,778.16,2.06,6,20,1.0
23582,24,303,601.24,2.07,7,20,1.0
23583,32,304,501.6,1.65,7,26,1.0
23681,13,135,222.75,1.65,2,10,1.0
35471D,11,176,72.94,0.55,6,10,0.273
35810A,12,134,126.46,1.01,8,10,0.118
35953,11,480,187.2,0.39,5,8,1.0
35961,12,222,188.7,0.85,6,8,0.279
35970,42,691,1138.99,1.68,9,34,0.648
37446,22,173,244.45,1.44,7,16,0.261
37447,22,276,399.72,1.48,8,14,0.179
37448,23,259,385.91,1.49,6,10,0.247
37449,30,107,995.05,9.71,8,16,0.505
37450,22,159,454.65,2.92,5,12,0.162
37495,25,120,450.0,3.75,12,22,0.167
37500,15,130,663.5,5.62,6,10,0.425
37501,10,40,278.0,6.95,6,9,0.075
46000M,12,138,213.9,1.55,2,8,0.145
46000S,11,127,184.15,1.45,4,7,0.63
47503A,14,302,127.67,0.48,6,11,0.043
47504K,13,259,223.45,1.06,5,12,0.117
47559B,36,337,411.75,1.24,9,25,0.364
47566,111,1102,5001.6,4.86,13,61,0.187
47566B,23,204,947.1,4.87,9,16,0.0
47567B,23,92,547.4,5.95,7,14,0.554
47590A,50,195,1062.75,5.45,11,30,0.113
47590B,47,286,1478.7,5.42,13,28,0.074
47591D,54,383,731.85,1.94,13,33,0.333
47599A,20,389,734.9,2.06,8,17,0.034
47599B,16,220,421.0,2.07,5,12,0.259
48111,14,68,483.0,7.69,5,12,0.068
48116,16,87,611.25,7.49,4,11,0.24
48129,29,162,1150.8,7.67,7,16,0.178
48138,38,193,1422.75,7.76,6,23,0.326
48173C,11,37,283.65,7.9,5,8,0.201
48184,44,214,1560.0,7.72,8,30,0.2
48185,35,108,845.7,7.96,6,15,0.365
48187,53,200,1483.8,7.82,6,30,0.2
48188,33,105,795.15,7.91,9,20,0.305
48194,44,165,1240.05,7.87,7,26,0.343
51014A,17,708,347.88,0.55,6,12,0.296
51014C,15,408,208.8,0.51,6,10,0.381
51014L,17,348,190.92,0.58,6,11,0.245
71053,16,86,322.5,3.75,4,8,0.14
71459,34,1683,1262.07,0.81,7,17,0.097
71477,16,116,407.8,3.51,4,12,0.522
72741,32,990,1305.9,1.4,10,23,0.692
72760B,14,53,503.99,9.85,5,11,0.316
72800E,10,74,151.38,2.28,4,8,0.113
72802B,11,252,463.08,3.94,3,6,0.595
72802C,10,331,534.83,3.91,3,6,0.745
72807A,12,37,157.25,4.25,5,9,0.162
72807B,13,48,204.0,4.25,4,6,0.375
72807C,13,45,191.25,4.25,5,8,0.533
72817,10,207,180.09,0.88,5,6,0.904
79190A,13,180,75.6,0.42,3,6,0.278
79190B,13,195,81.9,0.42,3,5,0.231
79190D,11,146,61.32,0.42,3,6,0.308
79191C,13,158,134.3,0.85,6,12,0.152
79321,44,797,3982.75,5.3,4,18,0.382
82482,59,392,1035.2,2.64,7,40,0.377
82483,37,245,1471.75,6.49,5,19,0.473
82484,62,274,2002.2,7.61,9,25,0.267
82486,44,134,1175.1,8.85,5,18,0.445
82494L,49,351,1006.65,2.94,6,27,0.581
82551,21,157,227.65,1.45,4,15,0.395
82552,13,133,192.85,1.45,3,8,0.241
82567,16,67,140.7,2.1,4,14,0.269
82578,11,201,110.55,0.55,3,7,0.622
82580,29,1146,597.8,0.55,5,14,0.221
82581,20,278,152.9,0.55,4,10,0.594
82582,34,339,711.9,2.1,6,19,0.448
82583,38,905,1756.5,2.06,6,25,0.26
82600,43,673,1321.62,2.06,6,24,0.233
84012,11,397,398.65,1.31,5,8,0.514
84029E,28,196,760.16,3.99,6,20,0.783
84029G,21,191,698.69,3.91,5,17,0.925
84030E,22,164,661.0,4.18,8,15,0.679
84032A,10,73,215.35,2.95,3,6,0.589
84050,30,790,1073.1,1.56,8,19,0.388
84077,69,7489,2010.53,0.28,9,36,0.302
84078A,10,37,1328.15,38.45,4,8,0.301
84212,14,1350,656.7,0.63,4,9,0.0
84279P,23,107,396.93,3.74,8,15,0.254
84347,29,824,1939.2,2.5,7,20,0.89
84356,13,126,671.7,5.87,4,8,0.289
84375,60,927,1946.7,2.1,11,39,0.351
84378,55,908,1185.6,1.33,11,39,0.217
84380,55,897,1101.53,1.3,12,38,0.209
84406B,18,196,714.2,3.88,5,9,0.442
